title;artist;album;isrc;path
Retrograde;James Blake;Overgrown;GBUM71300788;/Volumes/sad/MUSIC2/James Blake/(2013) Overgrown/James Blake - (2013) Overgrown - 01-05. Retrograde.flac
I Need A Forest Fire;James Blake;The Colour In Anything;GBUM71602640;/Volumes/sad/MUSIC2/James Blake/(2016) The Colour In Anything/James Blake - (2016) The Colour In Anything - 11. I Need a Forest Fire.flac
The Wilhelm Scream;James Blake;James Blake;GBUM71030822;/Volumes/sad/MUSIC2/James Blake/(2011) James Blake (Deluxe Edition)/James Blake - (2011) James Blake (Deluxe Edition) - 01-03. The Wilhelm Scream.flac
Mile High;James Blake;Assume Form;GBUM71807985;/Volumes/sad/MUSIC2/James Blake/(2019) Assume Form/James Blake - (2019) Assume Form - 02. Mile High.flac
Godspeed;James Blake;Covers;USUM72017827;/Volumes/sad/MUSIC2/James Blake/(2020) Covers/James Blake - (2020) Covers - 04. Godspeed (1).flac
Limit To Your Love;James Blake;James Blake;GBUM71028665;/Volumes/sad/MUSIC2/James Blake/(2011) James Blake (Deluxe Edition)/James Blake - (2011) James Blake (Deluxe Edition) - 01-07. Limit to Your Love.flac
Are You Even Real?;James Blake;Are You Even Real?;USUM72013736;/Volumes/sad/MUSIC2/James Blake/(2020) Are You Even Real?/James Blake - (2020) Are You Even Real? - 01. Are You Even Real?.flac
You're Too Precious;James Blake;You're Too Precious;GBUM72001738;/Volumes/sad/MUSIC2/James Blake/(2020) You're Too Precious/James Blake - (2020) You're Too Precious - 01. You’re Too Precious.flac
Life Round Here;James Blake;Overgrown;GBUM71300842;/Volumes/sad/MUSIC2/James Blake/(2013) Overgrown/James Blake - (2013) Overgrown - 01-03. Life Round Here.flac
Where's The Catch?;James Blake;Assume Form;GBUM71807986;/Volumes/sad/MUSIC2/James Blake/(2019) Assume Form/James Blake - (2019) Assume Form - 08. Where’s the Catch?.flac
Coming Back;James Blake;Friends That Break Your Heart;USUM72109423;/Volumes/sad/MUSIC2/James Blake/(2021) Friends That Break Your Heart/James Blake - (2021) Friends That Break Your Heart - 03. Coming Back (2).flac
Timeless;James Blake;The Colour In Anything;GBUM71602633;/Volumes/sad/MUSIC2/James Blake/(2016) The Colour In Anything/James Blake - (2016) The Colour In Anything - 01-04. Timeless.flac
If The Car Beside You Moves Ahead;James Blake;If The Car Beside You Moves Ahead;GBUM71800104;/Volumes/sad/MUSIC2/James Blake/(2018) If The Car Beside You Moves Ahead/James Blake - (2018) If The Car Beside You Moves Ahead - 01. If the Car Beside You Moves Ahead (1).flac
Assume Form;James Blake;Assume Form;GBUM71807975;/Volumes/sad/MUSIC2/James Blake/(2019) Assume Form/James Blake - (2019) Assume Form - 08. Where’s the Catch?.flac
Radio Silence;James Blake;The Colour In Anything;GBUM71602630;/Volumes/sad/MUSIC2/James Blake/(2016) The Colour In Anything/James Blake - (2016) The Colour In Anything - 01-01. Radio Silence.flac
I'll Come Too;James Blake;Assume Form;GBUM71807977;/Volumes/sad/MUSIC2/James Blake/(2019) Assume Form/James Blake - (2019) Assume Form - 09. I’ll Come Too (1).flac
Our Love Comes Back;James Blake;Overgrown;GBUM71300851;/Volumes/sad/MUSIC2/James Blake/(2013) Overgrown/James Blake - (2013) Overgrown - 02-05. Our Love Comes Back.flac
Lindisfarne II;James Blake;James Blake;GBUM71030825;/Volumes/sad/MUSIC2/James Blake/(2011) James Blake (Deluxe Edition)/James Blake - (2011) James Blake (Deluxe Edition) - 01-06. Lindisfarne II.flac
Fall Creek Boys Choir;James Blake;Enough Thunder;GBUM71106464;/Volumes/sad/MUSIC2/James Blake/(2011) Enough Thunder/James Blake - (2011) Enough Thunder - 03. Fall Creek Boys Choir.flac
Are You In Love?;James Blake;Assume Form;GBUM71807976;/Volumes/sad/MUSIC2/James Blake/(2019) Assume Form/James Blake - (2019) Assume Form - 07. Are You in Love?.flac
Take A Fall For Me;James Blake;Overgrown;GBUM71300845;/Volumes/sad/MUSIC2/James Blake/(2013) Overgrown/James Blake - (2013) Overgrown - 01-04. Take a Fall for Me.flac
Modern Soul;James Blake;The Colour In Anything;GBUM71602644;/Volumes/sad/MUSIC2/James Blake/(2016) The Colour In Anything/James Blake - (2016) The Colour In Anything - 02-06. Modern Soul.flac
Life Round Here;James Blake;Life Round Here;GBUM71306853;/Volumes/sad/MUSIC2/James Blake & Chance The Rapper/(2013) Life Round Here/James Blake & Chance The Rapper - (2013) Life Round Here - 01. Life Round Here.flac
Overgrown;James Blake;Overgrown;GBUM71300835;/Volumes/sad/MUSIC2/James Blake/(2013) Overgrown/James Blake - (2013) Overgrown - 01-05. Retrograde.flac
